127.0.0.1 - - [28/Apr/2023:02:32:13 +0200] "GET / HTTP/1.1" 404 681
0:0:0:0:0:0:0:1 - - [28/Apr/2023:02:32:14 +0200] "GET /test/auth HTTP/1.1" 200 8354
0:0:0:0:0:0:0:1 - - [28/Apr/2023:02:32:15 +0200] "GET /favicon.ico HTTP/1.1" 404 692
0:0:0:0:0:0:0:1 - - [28/Apr/2023:02:32:19 +0200] "POST /test/auth HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Apr/2023:02:32:19 +0200] "GET /test/sharedQuotes HTTP/1.1" 200 8530
0:0:0:0:0:0:0:1 - - [28/Apr/2023:02:32:23 +0200] "GET /test/myQuotes HTTP/1.1" 200 10901
0:0:0:0:0:0:0:1 - - [28/Apr/2023:02:33:16 +0200] "GET /test/sharedQuotes HTTP/1.1" 200 8530
0:0:0:0:0:0:0:1 - - [28/Apr/2023:02:33:21 +0200] "GET /test/people HTTP/1.1" 200 15737
0:0:0:0:0:0:0:1 - - [28/Apr/2023:02:33:26 +0200] "GET /test/profile?email=simosins78@gmail.com HTTP/1.1" 200 14554
0:0:0:0:0:0:0:1 - - [28/Apr/2023:02:33:31 +0200] "GET /test/addQuote HTTP/1.1" 200 7920
0:0:0:0:0:0:0:1 - - [28/Apr/2023:02:33:43 +0200] "GET /test/myQuotes HTTP/1.1" 200 10901
0:0:0:0:0:0:0:1 - - [28/Apr/2023:02:34:30 +0200] "POST /test/myQuotes HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Apr/2023:02:34:30 +0200] "GET /test/myQuotes HTTP/1.1" 200 10905
0:0:0:0:0:0:0:1 - - [28/Apr/2023:02:34:40 +0200] "GET /test/sharedQuotes HTTP/1.1" 200 8530
0:0:0:0:0:0:0:1 - - [28/Apr/2023:02:34:42 +0200] "GET /test/myQuotes HTTP/1.1" 200 10905
0:0:0:0:0:0:0:1 - - [28/Apr/2023:02:35:27 +0200] "POST /test/myQuotes HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Apr/2023:02:35:27 +0200] "GET /test/myQuotes HTTP/1.1" 200 10907
0:0:0:0:0:0:0:1 - - [28/Apr/2023:02:38:19 +0200] "POST /test/myQuotes HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Apr/2023:02:38:19 +0200] "GET /test/myQuotes HTTP/1.1" 200 10907
0:0:0:0:0:0:0:1 - - [28/Apr/2023:02:39:20 +0200] "POST /test/myQuotes HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Apr/2023:02:39:20 +0200] "GET /test/myQuotes HTTP/1.1" 200 10903
0:0:0:0:0:0:0:1 - - [28/Apr/2023:02:39:32 +0200] "POST /test/myQuotes HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Apr/2023:02:39:32 +0200] "GET /test/myQuotes HTTP/1.1" 200 9679
0:0:0:0:0:0:0:1 - - [28/Apr/2023:02:39:43 +0200] "GET /test/sharedQuotes HTTP/1.1" 200 6507
0:0:0:0:0:0:0:1 - - [28/Apr/2023:02:39:44 +0200] "GET /test/myQuotes HTTP/1.1" 200 9679
0:0:0:0:0:0:0:1 - - [28/Apr/2023:02:39:45 +0200] "GET /test/sharedQuotes HTTP/1.1" 200 6507
0:0:0:0:0:0:0:1 - - [28/Apr/2023:02:39:46 +0200] "GET /test/myQuotes HTTP/1.1" 200 9679
0:0:0:0:0:0:0:1 - - [28/Apr/2023:03:01:18 +0200] "GET /test/myQuotes HTTP/1.1" 200 9679
0:0:0:0:0:0:0:1 - - [28/Apr/2023:03:01:20 +0200] "GET /test/myQuotes HTTP/1.1" 200 9679
0:0:0:0:0:0:0:1 - - [28/Apr/2023:03:01:21 +0200] "GET /test/myQuotes HTTP/1.1" 200 9679
0:0:0:0:0:0:0:1 - - [28/Apr/2023:03:01:24 +0200] "GET /test/addQuote HTTP/1.1" 200 7740
0:0:0:0:0:0:0:1 - - [28/Apr/2023:03:01:33 +0200] "POST /test/addQuote HTTP/1.1" 200 7779
0:0:0:0:0:0:0:1 - - [28/Apr/2023:03:01:35 +0200] "GET /test/myQuotes HTTP/1.1" 200 10724
0:0:0:0:0:0:0:1 - - [28/Apr/2023:03:02:58 +0200] "GET /test/myQuotes HTTP/1.1" 200 9679
